reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
842,United States of America,531,Curaçao,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,497077,213498,169119,0,0,0,0,0,33,0
842,United States of America,044,Bahamas,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,35100,355176,54918,0,224890,0,102218,0,25,0
842,United States of America,300,Greece,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,9,0,0,0,0,0,0,0,0,0,0,0,24709,0,110497,296239,169124,0,0,0,23,0
842,United States of America,533,Aruba,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61801,0,0,22,0
842,United States of America,682,Saudi Arabia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,15,0
842,United States of America,414,Kuwait,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
842,United States of America,388,Jamaica,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58594,0,0,0,0,11,0
842,United States of America,152,Chile,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,282105,837884,386510,279634,183275,125143,10,13657
842,United States of America,012,Algeria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
842,United States of America,554,New Zealand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44090,0,0,0,7,0
842,United States of America,784,United Arab Emirates,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100999,702514,819111,364250,0,0,0,7,0
842,United States of America,222,El Salvador,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0
842,United States of America,430,Liberia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
842,United States of America,060,Bermuda,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
