reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
842,United States of America,222,El Salvador,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,16.000,Cubic meters,12.000,Cubic meters,0,
842,United States of America,268,Georgia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5174.000,Cubic meters,0,,0,,0,,0,,0,,0,,0,,0,
842,United States of America,292,Gibraltar,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,46905.000,Cubic meters,92378.000,Cubic meters,0,,0,,0,,0,,0,,0,,0,
842,United States of America,300,Greece,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,52.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,86971.000,Cubic meters,0,,300748.000,Cubic meters,798236.000,Cubic meters,522144.000,Cubic meters,0,,0,,0,,49.000,Cubic meters,0,
842,United States of America,344,"Hong Kong, China",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",91.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,315461.000,Cubic meters,0,,0,,0,,0,,0,,0,,0,,0,
842,United States of America,376,Israel,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",417.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,122427.000,Cubic meters,0,,0,,803103.000,Cubic meters,732552.000,Cubic meters,482508.000,Cubic meters,0,,118556.000,Cubic meters,113.000,Cubic meters,0,
842,United States of America,388,Jamaica,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",126.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,150461.000,Cubic meters,0,,0,,0,,0,,22.000,Cubic meters,0,
842,United States of America,414,Kuwait,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,24.000,Cubic meters,0,
842,United States of America,430,Liberia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Cubic meters,0,
842,United States of America,484,Mexico,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",6788.000,Tons,361.000,Tons,129.000,Tons,4.000,Tons,845.000,Tons,0,,0,,0,,0,,71.000,Tons,0,,0,,0,,0,,0,,0,,167170.000,Cubic meters,0,,0,,0,,0,,0,,0,,0,
