reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
699,India,800,Uganda,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,2.000,Tons,0,,0,,0,,0,,0,,51.000,Tons,0,,0,,82.000,Tons,0,,111.000,Tons,51.000,Tons,35.000,Tons,1.000,Tons,0,,0,,0,,0,,0,,0,
699,India,826,United Kingdom,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,20805.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
699,India,834,"Tanzania, United Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0.000,Tons,154.000,Tons,1.000,Tons,0.000,Tons,0,,222.000,Tons,142.000,Tons,19.000,Tons,0,,0,,0,,11.000,Tons,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,
699,India,894,Zambia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,51.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,14.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
699,India,012,Algeria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,69.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,0,,,
699,India,050,Bangladesh,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3.000,Tons,,,0,,0,,0,,0,,,,,,,,,,,,,,,
699,India,231,Ethiopia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0.000,Tons,7.000,Tons,0,,0.000,Tons,0,,0,,0,,0,,1.000,Tons,0,,30.000,Tons,0,,0,,0,,0,,0,,,,,
699,India,288,Ghana,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,17.000,Tons,0,,3321.000,Tons,0,,0,,0,,0,,,,0,,0,,0,,0,,,
699,India,340,Honduras,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3.000,Tons,35.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,,
699,India,400,Jordan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,18.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,
699,India,422,Lebanon,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,,
699,India,466,Mali,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,39.000,Tons,0,,0,,0,,,,0,,0,,0,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,
699,India,524,Nepal,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,,254.000,Tons,,,,,,,,,,,9.000,Tons,0,,3.000,Tons,0,,1.000,Tons,0,,37.000,Tons,57.000,Tons,68.000,Tons,2.000,Tons,0,,1.000,Cubic meters,1.000,Cubic meters,0,,,,,,,
699,India,566,Nigeria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,,,,,0,,0,,0,,20.000,Tons,0,,1163.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,
699,India,634,Qatar,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,50561.000,Tons,133312.000,Tons,,
699,India,729,Sudan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,,,,,,,,,,,,,,,,,,,,0,,0,,0,,30.000,Tons,14.000,Tons,57.229,Tons,0,,,,,,,,,,,,,,,
699,India,736,Sudan (before 2012),2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,101.000,Tons,31.000,Tons,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,India,784,United Arab Emirates,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,,,,,,1132.000,Tons,,,0,,102.000,Tons,,,,,,,0,,0,,0,,0,,0,,0.000,Tons,13.000,Tons,0.000,Tons,30953.000,Tons,94.000,Tons,0,,179.000,Tons,0.000,Tons,,
699,India,862,"Venezuela, Bolivarian Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
699,India,887,Yemen,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,,,,0,,0,,0,,228.000,Tons,35.460,Tons,117.000,Tons,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,0,,0,,,
