reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
251,France,344,"Hong Kong, China",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,14.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,352,Iceland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons
251,France,364,"Iran, Islamic Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,372,Ireland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,2.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,381,Italy,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",14.000,Tons,15.000,Tons,19.000,Tons,59.000,Tons,14.000,Tons,0,,1.000,Tons,281.000,Tons,161.000,Tons,17.000,Tons,0.000,Tons,0,,0,,1.000,Tons,0.000,Tons,0,,0,,0,,0,,2.000,Tons,0,,15.000,Tons,0,,0,
251,France,384,Côte d'Ivoire,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0.000,Tons,0.000,Tons,0,,2.000,Tons,0.000,Tons,0.000,Tons,0.000,Tons,0,,0,,0,
251,France,392,Japan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,2.000,Tons,0,,2.000,Tons,0,,0.000,Tons,0,,0,,0,,0.000,Tons,0,,0,,0,,0,
251,France,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,19.000,Tons,0,,0,
251,France,422,Lebanon,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,440,Lithuania,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,17.000,Tons,11.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,442,Luxembourg,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0.000,Tons,0,,0.000,Tons,0.000,Tons,0.000,Tons,3.000,Tons,12.000,Tons,28.000,Tons,0,,0,,0,,0,,2.000,Tons,0,,1.000,Tons,3.000,Tons,2.000,Tons,0,,0,,0,,0,
251,France,458,Malaysia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,504,Morocco,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",41.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,540,New Caledonia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1.000,Tons,0,,0,,0,,0,,0,
251,France,562,Niger,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,
251,France,566,Nigeria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,18.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,
251,France,579,Norway,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,1.000,Tons,0,,2.000,Tons,0,,0,,0,,0.000,Tons,0.000,Tons,0.000,Tons,0.000,Tons,0.000,Tons,0.000,Tons,0.000,Tons,0.000,Tons,2.000,Tons,0.000,Tons,0.000,Tons,0,,0,,0.000,Tons,0.000,Tons,0.000,Tons
251,France,616,Poland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,80.000,Tons,300.000,Tons,258.000,Tons,127.000,Tons,0,,0,,2.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,620,Portugal,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,6.000,Tons,0,,40.000,Tons,23.000,Tons,44.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,634,Qatar,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0.000,Tons,0.000,Tons,0,,0,
251,France,642,Romania,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,17.000,Tons,122.000,Tons,204.000,Tons,56.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,682,Saudi Arabia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0.000,Tons,0,,0,,0.000,Tons,0,,0.000,Tons,0,,0,
251,France,686,Senegal,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,14.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,688,Serbia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,1.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,
251,France,703,Slovakia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,4.000,Tons,0.000,Tons,0,,5.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,705,Slovenia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,15.000,Tons,29.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,710,South Africa,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,15.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0.000,Tons,0,,0.000,Tons,0,,0,
