reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand)
566,Nigeria,570,Niue,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,Nigeria,577,Africa not elsewhere specified,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,0,0,0,0,61876,0,0,0,0,0,0,0,0,0
566,Nigeria,591,Panama,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,56631,0,0,526022,0,0,0,126730,0,0,0,0,0,0,0,0
566,Nigeria,608,Philippines,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,46399,49706,19540,0,0,0,0
566,Nigeria,642,Romania,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,60159,0,0,0,0,0,0
566,Nigeria,682,Saudi Arabia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649045,61829,0
566,Nigeria,757,Switzerland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,27284,,,0,100139,175176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,Nigeria,772,Tokelau,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,0,0,215262,0,0,0,0,0,0,0,0,0,0,0
566,Nigeria,780,Trinidad and Tobago,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,11131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,Nigeria,784,United Arab Emirates,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,334,0,0,0,0,0,53062,0,52137,0,32764,0,0,0
566,Nigeria,788,Tunisia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,0,0,0,0,42393,9793,0,0,0,0,0,0,33125,0
566,Nigeria,946,Asia not elsewhere specified,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,57260,0,37395,0,0,0,0
